FASILITAS / JATAH KELAS PER FAKULTAS DAN JUMLAH TOTAL KELAS DI GKU3,,,,,
NO,JATAH KELAS FRI DI GKU,,Prodi,Kapasitas perkuliahan,Kapasitas Ujian
1,RUANG,KU3.03.07,S1 TL,50,25
2,RUANG,KU3.03.08,S1 TL,50,25
3,RUANG,KU3.03.09,S1 TL,50,25
4,RUANG,KU3.04.02,S1 SI,50,25
5,RUANG,KU3.04.03,S1 SI,50,25
6,RUANG,KU3.04.04,S1 SI,50,25
7,RUANG,KU3.04.14,S1 SI,50,25
8,RUANG,KU3.08.08,S1 SI (INT),40,20
9,RUANG,KU3.09.14,S1 SI (INT),40,20
10,RUANG,KU3.09.15,S1 SI (INT),40,20
11,RUANG,KU3.05.04,S1 TI,50,25
12,RUANG,KU3.05.05,S1 TI,50,25
13,RUANG,KU3.05.06,S1 TI,50,25
14,RUANG,KU3.05.07,S1 TI,50,25
16,RUANG,KU3.08.14,S1 TI (INT),40,20
17,RUANG,KU3.08.15,S1 TI (INT),40,20